reading	hanri	priority	corrected
# implicit-tone-overrides (single Hangul-only hanri rows used when the typed form has no tone mark)			
ᄑᅷ	泡	1	
ᄑᅷ2미5	泡麵	1	
ᄑᅷ2데4	泡茶	1	
학솅1	學生	1	
한걱	韓國	1	
한걱1랑4	韓國人	1	
해1셩5	海上	1	
해1옝2	海湧	1	
해1해2	海海	1	
해1활5	海岸	1	
해2	海	1	
햘1	兄	1	
햘5디5	兄弟	1	
햘5디지1뭬5	兄弟姊妹	1	
햘5디지1뻬5	兄弟姊妹	1	
햠1	薟	1	
햠4	嫌	1	
햠5죠1	薟椒	1	
향1키2	響起	1	
향2	響	1	
허2	虎	3	
허5	雨	2	
허5	護	1	
허솰	雨傘	1	
허죠	護照	1	
헉1곈	福建	1	
헉1곈2랑4	福建人	1	
헉1곈2미5	福建麵	1	
헉1곈2웨5	福建話	1	
헝1	風	1	
헝5허5	風雨	1	
헝5헝5우1우2	風風雨雨	1	
헝데	皇帝	1	
형5강2	香港	1	
혠	獻	1	
혱1	興	1	
혱4	衡	3	
혱5	幸	2	
혱헉	幸福	1	
호1걀2	好囝	1	
호1운5	好運	1	
호1쟣1	好食	1	
호1호2	好好	1	
호2	好	1	
호4	和	3	
호4	河	4	
호5	號	2	
화4	華	1	
화꾸2	華語	1	
환4	繁	2	
환4	煩	1	
환4	環	1	
환5꼥4	歡迎	1	
환곙2	環境	1	
환로2	煩惱	1	
환화4	繁華	1	
홛	法	1	
홛1보2	法寶	1	
활1	歡	1	
활5	捍	2	
활5히2	歡喜	1	
활챠1	捍車	1	
홸딛1	橫直	1	
후마2	駙馬	1	
훈	奮	8	
훈1	薰	2	
훈1	分	1	
훈1궤2	粉粿	1	
훈2	粉	4	
훈2ᄃᅷ	奮鬥	1	
훈4	魂	3	
훈4	痕	5	
훈4	雲	7	
훈5	昏	6	
훈림4	雲林	1	
훼	歲	3	
훼1	花	1	
훼1챠1	火車	1	
훼2	火	2	
훼4	回	4	
훼5흥4	花園	1	
훼ᄐᅷ4	回頭	1	
휘5기1	飛機	1	
휘왈1	惠安	1	
히2	喜	1	
히5빵5	希望	1	
힏1에4	힏ˆ个	1	
힐5	耳	1	
힐캉1	耳空	1	
ᄒᅷ셀1	後生	1	
ᄒᅷ실1	後生	1	
ᄒᆤ2	曉	1	
ᄒᆤ5배1	囂俳	1	
ᅙᅦ5	硬	1	
ᅙᅵ5	硬	1	
어5셱1	烏色	1	
ᄃᆤ걀5	條件	1	
관2	管	1	
볜2과	變卦	1	
옌훈5	緣份	1	
좐4	全	1	
콸2퐈	看破	1	
히5솅1	犧牲	1	
턀	疼	1	
상	送	1	
완4	完	1	
완2훈5	怨恨	1	
뽠2	滿	1	
산5뼹해1세	山盟海誓	1	
짇듈4	一場	1	
딛1	得	1	
꽌5	願	1	
어5암	烏暗	1	
김5김1	金金	1	
훈5	恨	1	
괃1뎽5	決定	1	
등4	長	1	
짇버5	一步	1	
허쥐2	雨水	1	
악1담4	沃澹	1	
살5커	衫褲	1	
지2	只	1	
곙2가1	更加	1	
곈5경4	堅強	1	
붸효5	背後	1	
커1처2	苦楚	1	
곈5뎽5	堅定	1	
퐐5	伴	1	
형2졘걀4	向前行	1	
먀4	名	1	
춛1시	出世	1	
호1먀5	好命	1	
싣1배	失敗	1	
빤빤5	慢慢	1	
운먀5	運命	1	
지1ᄋᆤ	只要	1	
영심1	用心	2	
셓1	踅	1	
하코	下課	1	
뮈1강1	每工	1	
심5래5	心內	1	
챠5롄2	車輦	1	
카5닿1	跤踏	1	
갸	寄	1	
츄뎽2	樹頂	1	
ᄌᆤ1아2	鳥仔	1	
붇1시4	不時	1	
ᄐᅷ5턀1	偷聽	1	
담4	談	1	
롼애	戀愛	1	
역1훼5	約會	1	
심5쟐4	心情	2	
킁	囥	1	
순졩4	純情	1	
활5활5히1히2	歡歡喜喜	1	
기태5	期待	1	
딜5삗1	甜蜜	1	
주5삐5	滋味	1	
참1	摻	1	
재5	在	1	
아2	仔	1	
어5어1	烏烏	1	
꺟1	攑	1	
듸ᄐᅷ4	鋤頭	1	
굳1	掘	1	
어5	芋	1	
짇쀄2	一尾	1	
솬5류5거2	旋鰡鼓	1	
진5쟐	真正	1	
추2삐5	趣味	1	
쟐2	䭕	1	
쇼5팧	相拍	1	
렁2퐈	挵破	1	
댤2	鼎	1	
렁	挵	1	
쟘쟘5	漸漸	1	
키1걀4	起行	1	
재2훼5	再會	1	
거2형1	故鄉	1	
친5쟐4	親情	1	
베뿌2	爸母	1	
고2시4	告辭	1	
래킈	來去	1	
턀5랑겅2	聽人講	1	
삔빵5	眠夢	1	
뚜호4	如何	1	
짇잠5	一站	1	
헝5곙2	風景	1	
짇뻐5	一幕	1	
덩5죄	當做	1	
람주1각	男主角	1	
봘1	搬	1	
훈유수2해2	雲遊四海	1	
유2디5	幼稚	1	
럭관1	樂觀	1	
효고2	後果	1	
달1	擔	1	
꽌령5	原諒	1	
붇1ᄒᅷ	不孝	1	
탄	趁	1	
괄1긴2	趕緊	1	
롷챠1	落車	1	
루1켛	旅客	1	
혠대	現代	1	
짇덩	一棟	1	
츌5	像	1	
뀋뉴4	月娘	1	
죠	照	1	
귀5미4	規暝	1	
쿤	睏	1	
롄4	連	1	
훃1쿤	歇睏	1	
강콴2	仝款	1	
허셩1	互相	1	
이5와2	依倚	1	
졩애	情愛	1	
준재5	存在	1	
감5꽌5	甘願	1	
조2훼2	做伙	1	
심5뎡1	心中	1	
삐1레5	美麗	1	
서1재5	所在	1	
서1우5	所有	1	
읻1체	一切	1	
희4	魚	1	
싣1뻥5	失望	1	
띰1내5	忍耐	1	
당5시4	當時	1	
위읻	唯一	1	
돠해2	大海	1	
헝5옝2	風湧	1	
옝2	湧	1	
뼹2	猛	1	
킫1쟣1	乞食	1	
춛1ᄐᅷ틸1	出頭天	1	
완2틸1	怨天	1	
유띤4	尤人	1	
쇼1심1	小心	1	
능각	兩角	1	
삼5붇1꺼시4	三不五時	1	
각	角	1	
감1졩4	感情	1	
주2뎽5	註定	1	
호1한	好漢	1	
퐈2박	破腹	1	
살5길	相見	1	
겅5임1	光陰	1	
규4	求	1	
뼹리5	名利	1	
ᄅᆤ2	了	1	
쳰5김1	千金	1	
란4	難	1	
아5겅5아2	阿公仔	1	
퐈	破	1	
ᄐᅷ게1	頭家	1	
ᄎᅷ2ᄎᅷ	臭臭	1	
ᄎᅷ	臭	1	
돠ᄃᆤ4	大條	1	
춘1	賰	1	
커1	顆	1	
꼔2ᄐᅷ4	癮頭	1	
조	做	1	
신5쉬2	薪水	1	
재세	在世	1	
호빋	何必	1	
완2먀5	怨命	1	
호1꺟1	好額	1	
산2쟣1	散食	1	
킨캼5	勤儉	1	
핀돨5*	貧惰	1	빈돨5
빈돨5	貧惰	1	
가	到	1	
주1괄1	主官	1	
텽	暢	1	
증1	妝	1	
쉐1	衰	1	
ᄅᅷ2ᄑᅷ4	落跑	1	
턀5겅2	聽講	1	
짇샬1	一聲	1	
덕야5	獨夜	1	
쥬2	守	1	
뎽5에5	燈下	1	
촁5헝1	清風	1	
뒤2삔5	對面	1	
췌1	吹	1	
길	見	1	
고1뗸4	果然	1	
ᄇᆤ5디	漂緻	1	
삔빻	面肉	1	
쉬4	誰	1	
주1데5	子弟	1	
팰1세	歹勢	1	
돨4	彈	1	
비베4	琵琶	1	
렁군1	郎君	1	
이2애	意愛	1	
슐뾯	想欲	1	
령군1	良君	1	
앙5새	翁婿	1	
호시4	何時	1	
군1	君	1	
채2	採	1	
등5캐1	當開	1	
덩5캐1	當開	1	
태5	待	1	
턀5길	聽見	1	
꽈삔5	外面	1	
퀴5믕4	開門	1	
콸2매5	看覓	1	
훋	忽	1	
꽈ᄏᅷ2	外口	1	
대1	呆	1	
꽏로2	月老	1	
베5	爸	1	
돠	蹛	1	
즈1데5	子弟	1	
락뀋1	六月	1	
띧즤2	日子	1	
띱볭1	入兵	1	
칟1자1뵣1자2	七早八早	1	
볭1	兵	1	
볭5ᄐᅷ4	兵頭	1	
슈1	收	1	
앙뎽5기	紅登記	1	
뗸ᄋᅷ5	然後	1	
쟣헝1	食風	1	
삔층4	眠床	1	
팋1두4	鐵櫥	1	
볭5살1	兵衫	1	
볭5커	兵褲	1	
커	褲	1	
게1	加	1	
짐4	蟳	1	
짇쟣	一隻	1	
쟣	隻	1	
홛	發	1	
피키	脾氣	1	
ᄅᅷ뎽2	樓頂	1	
ᄅᅷ카1	樓跤	1	
왈5	換	1	
증2캉2	鑽孔	1	
챃1ᄎᅷ2	插草	1	
셩데5	上第	1	
쟣랃1	食力	1	
겅5리2	公里	1	
긍1	扛	1	
조2볭1	做兵	1	
능띧1	兩日	1	
살5띧1	三日	1	
셜뼇	想欲	1	
걈2	減	1	
짇커1	一箍	1	
혱얄2	形影	1	
짇준5	一陣	1	
춘5헝1	春風	1	
ᄃᆤ4	牢	1	
ᄅᆤ4	聊	1	
도	倒	1	
귀5에4	規个	1	
샤2	寫	1	
잠5	站	1	
롷래4	落來	1	
ᄀᅷ5대5	交代	1	
걀5걀1	驚驚	1	
슐키2	想起	1	
쇼1콰1아2	小可仔	1	
췌5	揣	1	
귀1	規	1	
창	藏	1	
호1세	好勢	1	
위1쿧	委屈	1	
헝5뎡1	風中	1	
붸5롕4	飛龍	1	
ᄒᅷ2	吼	1	
샬5샬1	聲聲	1	
틸5요데당5	天搖地動	1	
돤솯	傳說	1	
퇀솯*	傳說	1	돤솯
뎽1괠4	頂懸	1	
솨	紲	1	
뚜2	愈	1	
퀴1	開	1	
덩5시4	當時	1	
도5졩4	多情	1	
캄	崁	1	
쳰5산5빤쉬2	千山萬水	1	
츄1래5	手內	1	
쳥삐4	薔薇	1	
삐삐5	微微	1	
팡1	芳	1	
삐5	微	1	
걀닿1	行踏	1	
킨5상1	輕鬆	1	
카5버5	跤步	1	
댬5	恬	1	
댬댬5	恬恬	1	
춛1샬1	出聲	1	
왇ᄐᅷ4	斡頭	1	
궤2킈	過去	1	
쇃	煞	1	
류렁5	流浪	1	
졍5댬2	終點	1	
뫄2	滿	1	
훼5우2	花雨	1	
뻥뿌5	茫霧	1	
래되2	內底	1	
신4	神	1	
촁5니4	千年	1	
류좐2	流轉	1	
주적1도5졩4	自作多情	1	
주5	自	1	
깐1졩4	眼前	1	
데꼑1	地獄	1	
곙2	揀	1	
톈5셩5	天上	1	
데하5	地下	1	
띤간1	人間	1	
수2헝1	四方	1	
ᄋᆤ5꼗1	妖孽	1	
테2하5	退下	1	
졍2솅1	眾生	1	
슈줴5	受罪	1	
심5겅4	心狂	1	
훼1돟1	火著	1	
심5겅훼1돟1	心狂火著	1	
뼹재1	明知	1	
쳰5초2빤초	千錯萬錯	1	
관1	關	1	
춛1게	出嫁	1	
ᄉᆤ2롄게1	少年家	1	
뫄1이	滿意	1	
봫ᄀᆤ2	跋筊	1	
푸4	浮	1	
심1밓1	什物	1	
샬1밓1	啥物	1	
위심1밓1	為什物	1	
위샬1밓1	為啥物	1	
디시4	底時	1	
도1위5	底位	1	
도1롷1	底落	1	
샬1랑4	啥人	1	
샹4	샹ˊ	1	
디랑4	底人	1	
댱4	댱ˊ	1	
안1좔2	按怎	1	
안1좔1율5	按怎樣	1	
되2	底	1	
데1커	底褲	1	
래살1	內衫	1	
지2키	志氣	1	
ᄉᆤ5싣	消失	1	
닥1딜4	觸纏	1	
샬2	啥	1	
시2괴	四界	1	
탐2턀1	探聽	1	
ᄉᆤ5싣	消息	1	
박1	縛	1	
시1시2	死死	1	
청2디5	創治	1	
재	再	1	
졛1뽜4	折磨	1	
잡니4	十年	1	
붇1디5붇1각	不知不覺	1	
탕1	窗	1	
탕5꽈5	窗外	1	
꽈5	外	1	
람띤4	男人	1	
뤼5	淚	1	
삔뒤	面對	1	
혠싣1	現實	1	
빵뎡1	夢中	1	
내곙2기	荔鏡記	1	
대지	代誌	1	
ᄐᅷ러5	頭路	1	
당옿1	同學	1	
옿등4	學堂	1	
홛1더5	法度	1	
기5훼5	機會	1	
샤훼5	社會	1	
졩2디5	政治	1	
곙5제	經濟	1	
뿐화	文化	1	
랑켛	人客	1	
뎡5ᄃᅷ	中晝	1	
삔아1재	明仔載	1	
먀4재*	明仔載	1	삔아1재
촁5키	清氣	1	
셴5실1	先生	1	
팡4	捧	1	
커1샵	苦澀	1	
도2	底	1	
지1붇1고	只不過	1	
쥬1셴1	酒仙	1	
뻐율5	模樣	1	
살2	啥	1	
유5꽌4	猶原	1	
ᄋᅷ뱧	後壁	1	
나ᄋᅷ4	嚨喉	1	
소1시4	鎖匙	1	
뿐되4	問題	1	
ᄅᅷ수1	老師	1	
빵러5	網路	1	
빵잠5	網站	1	
빵5	網	1	
삔쳏	面冊	1	
켛	客	1	
궤1즤2	果子	1	
뭬4	糜	1	
헝5태1	風颱	1	
취2둔4	喙脣	1	
암군2	頷頸	1	
자5흥1	昨昏	1	
수5갛	舒佮	1	
갛1이	佮意	1	
거1쥐1	古錐	1	
거1자2	古早	1	
구자2	舊早	1	
구니4	舊年	1	
메니4	明年	1	
긴5니4	今年	1	
삔아1띧1	明仔日	1	
고	個	1	
짇고	一个	1	
짇고2뀋1	一個月	1	
능고2뀋1	兩個月	1	
살5고2뀋1	三個月	1	
귀2	鬼	1	
퓌	屁	1	
방2퓌	放屁	1	
채2치아2	菜市仔	1	
볜서2	便所	1	
푼1	潘	1	
헤4	蝦	1	
당5롕4	東寧	1	
당5롕임1	東寧音	1	
롕4	寧	1	
꼔5	諺	1	
한	漢	1	
한2띠5	漢字	1	
옝5꾸2	英語	1	
옝5뿐4	英文	1	
뵣1댬1덩2	八點檔	1	
심5졩4	心情	1	
카	敲	1	
카2뎬웨5	敲電話	1	
롄4	憐	1	
앙머랑4	紅毛人	1	
앙머웨5	紅毛話	1	
어5아1	烏鴉	1	
아1	鴉	1	
아5폔	鴉片	1	
댬5	店	1	
빻1굳1데4	肉骨茶	1	
굳	骨	1	
빻1괄1	肉乾	1	
샤1풰1	寫批	1	
빋	筆	1	
옌빋	鉛筆	1	
츄1기1	手機	1	
츄1기5아2	手機仔	1	
뾔1뾔5	買賣	1	
쇼5빻1장	燒肉粽	1	
빡걀	目鏡	1	
옌4	緣	1	
ᄃᅷ4	投	1	
댬	踮	1	
띤진1	認真	1	
쉬2	媠	1	
주1랑4	主人	1	
조2강1	做工	1	
삔셱	面色	1	
죄2강1	做工	1	
볜솅4	變成	1	
짇듈1	一張	1	
ᄌᅷ1췌5	走揣	1	
졩러5	前路	1	
캄1켿1	坎坷	1	
캄1캬1	坎欹	1	
퀴5엉2	開往	1	
준쟣	船隻	1	
코2활5	靠岸	1	
활5	岸	1	
테1훼5	體會	1	
쉬4	隨	1	
밓걀5	物件	1	
ᄅᆤ1ᄋᅷ5	了後	1	
쇠2한	細漢	1	
받아2	菝仔	1	
받1	菝	1	
태2더5	態度	1	
인	應	1	
청	創	1	
리1유4	理由	1	
개1쉫	解說	1	
완5게1	冤家	1	
준1비5	準備	1	
증1	裝	1	
튀튀4	槌槌	1	
바2	飽	1	
바1바2	飽飽	1	
즤2	子	1	
팍띧1	曝日	1	
솨1	痧	1	
ᄌᅷ2카1	灶跤	1	
치5	飼	1	
갛	蓋	1	
버2데5	布袋	1	
자5암	昨暗	1	
닥띧1	逐日	1	
뎬덩5	電動	1	
이2곈	意見	1	
코1롕4	可能	1	
ᄋᅷ레1배	後禮拜	1	
자1등	早頓	1	
능띤4	卵仁	1	
ᄐᅷᄂᅷ2	頭腦	1	
캉5캉1	空空	1	
춛1믕4	出門	1	
둏솨1	著痧	1	
폔5폔1	偏偏	1	
강5	仝	1	
캼2제	欠債	1	
시2랑4	世人	1	
헝5췌1	風吹	1	
롷터4	落塗	1	
셩호2	上好	1	
죄2훼2	做伙	1	
짇시2랑4	一世人	1	
솰	散	1	
포5	抱	1	
비5셩1	悲傷	1	
셩애	上愛	1	
레1배	禮拜	1	
뎽1레1배	頂禮拜	1	
배	拜	1	
배2배	拜拜	1	
배2읻	拜一	1	
배2띠5	拜二	1	
배2살1	拜三	1	
배2시	拜四	1	
배2꺼5	拜五	1	
배2락1	拜六	1	
등4	堂	1	
ᄀᅷ2등4	教堂	1	
ᄀᅷ	教	2	
가	教	1	
퐈2벨5	破病	1	
퐈2빌5	破病	1	
쇠2	洗	1	
귀5강1	規工	1	
칸1	牽	1	
ᄃᆤᄃᆤ4	牢牢	1	
졍5래4	將來	1	
졍1	將	1	
ᄃᅷ1	兜	1	
차1차1ᄂᅷᄂᅷ5	吵吵鬧鬧	1	
차1ᄂᅷ5	吵鬧	1	
ᄅᅷ뗻1	鬧熱	1	
위호4	為何	1	
방2삭	放捒	1	
죠2걀	照鏡	1	
짐5젹	斟酌	1	
홛1혠5	發現	1	
시시켹1켹	時時刻刻	1	
캉5희1	空虛	1	
룬5	論	1	
쇼1쟈2	小姐	1	
쥐1질1	水晶	1	
석1박1	束縛	1	
덕옉1	毒液	1	
주2띱1	注入	1	
챨1믕5	請問	1	
우1듀5	宇宙	1	
갈2	敢	1	
살5당1	三冬	1	
봘	半	1	
졩풰1	情批	1	
재셱	在室	1	
미4	暝	1	
봘2미4	半暝	1	
닥1	逐	1	
닥강1	逐工	1	
강1길4	港墘	1	
띧띧야야5	日日夜夜	1	
홰끼4	懷疑	1	
수2풰	四配	1	
ᄀᅷ5붸4	交陪	1	
죠1	招	1	
추2래5	厝內	1	
킴4	琴	1	
돨킴4	彈琴	1	
ᄎᆤ5ᄎᆤ1	悄悄	1	
일4	圓	1	
덩5헝1	東方	1	
안5심1	安心	1	
심5안1	心安	1	
수5띱홛	輸入法	1	
수1	輸	1	
이1ᄋᅷ5	以後	1	
림4	林	1	
유5	佑	1	
유5	祐	1	
혁	郁	1	
주4	慈	1	
안	晏	1	
찬4	田	1	
뎬4	田	1	
츄1	秋	1	
휘1	輝	1	
림뎬4	林田	1	
듈1	張	1	
리2	李	1	
혱리2	行李	1	
고1	高	1	
고5팋	高鐵	1	
도5	道	1	
암2캄	暗崁	1	
감1샤5	感謝	1	
도5샤5	多謝	1	
샤5	謝	1	
쟈5	謝	1	
샤줴	謝罪	1	
시짇	辭職	1	
시ᄐᅷ러5	辭頭路	1	
퍽1수5	博士	1	
수5	士	1	
퍽1뿓관2	博物館	1	
셱수5	碩士	1	
학수5	學士	1	
띤수5	人士	1	
추2래랑4	厝內人	1	
벻1셀	百姓	1	
벻1실	百姓	1	
주1삔4	子民	1	
ᄅᅷ4	劉	1	
븡1	方	1	
율4	楊	1	
열4	楊	1	
강2	港	1	
강1완1	港灣	1	
궤2꼔	過癮	1	
버5	部	1	
버믕4	部門	1	
수5코2	思考	1	
코2	考	1	
수1	思	1	
필	片	1	
얄1필	影片	1	
헉1키	福氣	1	
헉	福	1	
쇠2띠5	細膩	1	
삫	覕	1	
욯	臆	1	
뮈2	每	1	
감4	含	1	
취2빌1	喙邊	1	
ᄅᅷ4	留	1	
조5	座	1	
샬치5	城市	1	
훈5퀴1	分開	1	
비2삗1	秘密	1	
환세	凡勢	1	
쟐4	誠	1	
쟐호2	誠好	1	
캐5시2	開始	1	
주기5	自己	1	
곈	建	1	
솅4	成	1	
곈5	健	1	
곈컹1	健康	1	
귀5셕	歸宿	1	
훈해2	雲海	1	
걱	各	1	
군5엉4	君王	1	
밯1니4	百年	1	
옌볭4	延平	1	
세2정1	世宗	1	
살5길2활1	相見歡	1	
추2	此	1	
해4	還	1	
운5뿐니1ᅙᅡ2	溫文爾雅	1	
신5ᄋᅷ5	身後	1	
퇀4	傳	1	
댬졩5	恬靜	1	
어쥐1삔5	湖水面	1	
윃1	劃	1	
시1	絲	1	
포5뿐4	波紋	1	
어쥐2	湖水	1	
어4	湖	1	
쟐	正	1	
신5뎍1	身著	1	
첼5ᄑᅷ	青袍	1	
요5괠4	腰懸	1	
붸걈	佩劍	1	
걱1솅2야4	國姓爺	1	
볭4	爿	1	
덩2댬5	擋恬	1	
ᄃᆤ셴2	朝鮮	1	
짇구	一句	1	
옌볭엉4	延平王	1	
안5롕4	安寧	1	
옌4	延	1	
뿐뿐아1쵸	文文仔笑	1	
팧1죠5허1	拍招呼	1	
솨2래4	紲來	1	
겅1홛	講法	1	
띠4	而	1	
짇시1	一絲	1	
솬샿	訕削	1	
뚜추2	如此	1	
경1키1츄2	拱起手	1	
규1꼉2	久仰	1	
빡쀄2	目尾	1	
샴1	䀐	1	
짇빡1	一目	1	
훼레2	回禮	1	
경1츄2	拱手	1	
빤당1	閩東	1	
빤당5꾸2	閩東語	1	
걀5	件	1	
과2이	掛意	1	
뎽1시2랑4	頂世人	1	
위5	位	1	
군5주2	君子	1	
옝5암	下昏暗	1	
걀1순1	囝孫	1	
곋1고2	結果	1	
줴2ᄋᅷ5	最後	1	
앙1	翁	1	
두2	拄	1	
톈5훈5	天份	1	
왇1	斡	1	
왇ᄐᅷᄌᅷ2	斡頭走	1	
담5꺼5	耽誤	1	
운5뜌4	溫柔	1	
빧	捌	1	
ᄋᆤ5규4	要求	1	
완솅4	完成	1	
쇼5뉴5	相讓	1	
호1팰2	好歹	1	
짇배2	一擺	1	
함5	和	1	
젹	足	1	
짇랑4	一人	1	
짇봘	一半	1	
훈뎡1	雲中	1	
뀋일4	月圓	1	
틸5칠1	天星	1	
셩5쉬4	相隨	1	
칠1	星	1	
첼1	星	1	
슈2	首	1	
졩과1	情歌	1	
해1각	海角	1	
틸5빌1	天邊	1	
대ᄇᆤ2	代表	1	
훼5뤼2	花蕊	1	
팡5삐5	芳味	1	
죻ᄐᅷ4	石頭	1	
놔5	爛	1	
해1쥐2	海水	1	
침5침1	深深	1	
쉬5뗸4	雖然	1	
세2졩4	世情	1	
도1	多	1	
볜2화	變化	1	
루1더4	旅途	1	
짇퇄1	一攤	1	
퇄1	攤	1	
해1헝1	海風	1	
심5샬1	心聲	1	
졩해2	情海	1	
푸딤4	浮沉	1	
실2먀5	性命	1	
셀2먀5	性命	1	
짇춛	一出	1	
히	戲	1	
샵	澀	1	
걈승5커1샵	鹹酸苦澀	1	
친5졩4	親情	1	
챨4	晟	1	
신5커2	辛苦	1	
뵣1훈5	八分	1	
얄4	贏	1	
롕1롼2	冷暖	1	
붸퐐5	陪伴	1	
한당1	寒冬	1	
운5롼2	溫暖	1	
샹5츄2	雙手	1	
캄1캄1켹1켹	坎坎刻刻	1	
형	向	1	
야치5	夜市	1	
보1비	保庇	1	
래ᄀᅷ	來到	1	
류혱4	流行	1	
팔5	奅	1	
심5ᄐᅷ4	心頭	1	
읻1딛1	一直	1	
럏1	掠	1	
뎽5	定	1	
지2	指	1	
지1댬2	指點	1	
신텅1	神通	1	
치	試	1	
치2콸2매5	試看覓	1	
챰5시1	籤詩	1	
챰1	籤	1	
시1	詩	1	
튜1	抽	1	
죄2롷1	做落	1	
시기1	時機	1	
쥴5	上	1	
신뼹4	神明	1	
저딘5	助陣	1	
운더4	運途	1	
처5버5	初步	1	
환4	凡	1	
셩쇠	詳細	1	
ᄌᆤ2버걀4	照步行	1	
환수5	凡事	1	
파5파5ᄌᅷ2	拋拋走	1	
폗	撇	1	
폗1버5	撇步	1	
춘1	春	1	
춘5허5	春雨	1	
거2이	故意	1	
람4	淋	1	
거	故	1	
셩5심1	傷心	1	
내5	奈	1	
ᄀᅷ2달1	到今	1	
뽀채1강1	뽀彩工	1	
빡니5	茉莉	1	
춘5틸1	春天	1	
츄5틸1	秋天	1	
헝훈1	黃昏	1	
띧ᄐᅷ4	日頭	1	
롷솰1	落山	1	
오아1졘1	蚵仔煎	1	
오4	蚵	1	
오아2	蚵仔	1	
락1찯	落漆	1	
랑게1	人家	1	
호1쥐2	好水	1	
풰	配	1	
호1데4	好茶	1	
화5영꽏ᄆᅷ5	花容月貌	1	
붇	不	1	
졍5귀1	終歸	1	
락1훼1	落花	1	
호추	何處	1	
긴5미4	今暝	1	
김5솅1	今生	1	
걀5햘4	驚惶	1	
댤둏1	定著	1	
벙헝4	彷徨	1	
빈4	憑	1	
꺼댬1봘	五點半	1	
영1걀5	勇健	1	
가2수2	駕駛	1	
쿤2란4	困難	1	
저1깨5	阻礙	1	
테4	提	1	
퀴2랃1	氣力	1	
위함5	遺憾	1	
졘4	前	1	
볭안1	平安	1	
오5너2	婀娜	1	
팍1	曝	1	
돠허5	大雨	1	
악	沃	1	
뎽1진1	頂真	1	
퀴5챠1	開車	1	
닿1옝	答應	1	
롷훃1	落葉	1	
뫄1뫄2	滿滿	1	
슐5싀1	相思	1	
럅1	粒	1	
리볟1	離別	1	
역1석	約束	1	
심5희1	心虛	1	
귀2	幾	1	
켹	刻	1	
각1칠2	覺醒	1	
뒤롷1	墜落	1	
침5킬1	深坑	1	
봫	撥	1	
리5	離	1	
뚜김1	如今	1	
치5심1	痴心	1	
훈옌1	雲煙	1	
키2삐5	氣味	1	
짇춘	一吋	1	
빤1훼4	挽回	1	
욯1	藥	1	
이1	醫	1	
애5완5	哀怨	1	
허샬1	雨聲	1	
히5삐4	稀微	1	
상1	鬆	1	
빵4	茫	1	
쇼5강5	相仝	1	
ᄉᆤ2롄랑4	少年人	1	
영1감2	勇敢	1	
돠장4	大欉	1	
턀2심1	疼心	1	
게2셕1	繼續	1	
띤덩4	認同	1	
삐1빵5	美夢	1	
뼨1경2	勉強	1	
쇼1준4	小船	1	
죄2퐐5	做伴	1	
진5심1	真心	1	
졩훈5	情份	1	
기탈1	其他	1	
셕의4	屬於	1	
훈떃	痕跡	1	
붸얄2	背影	1	
갛1쟣	胛脊	1	
히2랑5	戲弄	1	
쾋	闊	1	
ᄑᆤ5폗	飄撇	1	
란뼨2	難免	1	
유5츄4	憂愁	1	
완2유4	怨尤	1	
쇼5틴5	相伨	1	
순순5	順順	1	
괴5치5	街市	1	
뎡5응1	中央	1	
뎽5훼2	燈火	1	
헝2덩5	放蕩	1	
ᄋᆤ1슈5	夭壽	1	
깐1신4	眼神	1	
딘1당5	振動	1	
띤겧	人格	1	
보1졩	保證	1	
효훼2	後悔	1	
뻑졩4	目前	1	
위지2	為止	1	
끼4	疑	1	
리퀴1	離開	1	
셩5해5	傷害	1	
이2	已	1	
조솅4	造成	1	
후졕1띰5	負責任	1	
위1대5	偉大	1	
강5산5이개2	江山易改	1	
단5	但	1	
분1솅2란이4	本性難移	1	
빡빼4	目眉	1	
좐버5	全部	1	
등1셓1	轉踅	1	
톙4	亭	1	
톙아1카1	亭仔跤	1	
탕아2	窗仔	1	
능1쟐2	軟䭕	1	
좔1율5	怎樣	1	
퀴5훼1	開花	1	
기2딛1	記得	1	
ᄐᅷ5ᄐᅷ1	偷偷	1	
꽌빵5	願望	1	
담거거4	澹糊糊	1	
곙1셱	景色	1	
쟙	接	1	
반겅5훼2	辦公伙	1	
삫1쇼5췌5	覕相揣	1	
돠한	大漢	1	
령붸5	狼狽	1	
샬1훼	啥貨	1	
란뻥5	難忘	1	
짇훈1	一分	1	
짇뾰2	一秒	1	
ᄋᅷ시2랑4	後世人	1	
순1	孫	1	
쉬2	水	1	
럄4	黏	1	
돠튀2	大腿	1	
뎩	得	1	
닥1짛1	觸舌	1	
ᄉᆤ5켼2	消遣	1	
추2빌5ᄐᅷ쀄2	厝邊頭尾	1	
걈5희1	謙虛	1	
혱5캄2	胸坎	1	
밓1	物	1	
삔걱	民國	1	
항2롕1	肨奶	1	
신5괘4	身懸	1	
비2수	閉思	1	
주1곈	主見	1	
톈5뗸4	天然	1	
고	過	1	
달5아2	今仔	1	
쟐4	情	1	
턀5랑츌	聽人唱	1	
짇댬1아2	一點仔	1	
규신4	求神	1	
쳳1등5	切斷	1	
뻬롼4	迷戀	1	
항헉1	降伏	1	
야체1	夜叉	1	
억1귀2	惡鬼	1	
꼗걀2대4	孽鏡台	1	
졩4	前	1	
심1퐐	審判	1	
춛1랃1	出力	1	
쳰5밯	千百	1	
